match_id,round_number,stage,mode,duration_s,slot_id,is_p1,is_p2,won_round,profile_id,profile_name,player_id,actions_total,actions_attack,actions_mobility,actions_defense,actions_quick,actions_heavy,actions_special,actions_charge,actions_projectile,hit_attempts,misses,hits_landed,hits_received,damage_dealt,damage_taken,blocked_hits_as_defender,dodged_hits_as_defender,attack_rate,mobility_rate,defense_rate,hit_rate,miss_rate,dps_dealt,dps_taken,block_rate,dodge_rate,quick_rate,heavy_rate,special_rate,charge_rate,projectile_rate,risk_index,parry_rate
699a8bd30e02,1,Stage 1,1v1,47.56451416015625,P1,True,False,0.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,149,1,94,22,0,0,0,0,6,3,0,5,11,91.0,112.0,3,0,0.006711409395973154,0.6308724832214765,0.1476510067114094,1.0,0.0,1.913190991367861,2.3546966047604445,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.040268456375838924,0.0,0.0
699a8bd30e02,1,Stage 1,1v1,47.56451416015625,P2,False,True,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,152,26,105,10,10,9,4,1,0,10,11,10,6,112.0,91.0,1,0,0.17105263157894737,0.6907894736842105,0.06578947368421052,0.47619047619047616,0.5238095238095238,2.3546966047604445,1.913190991367861,0.16666666666666666,0.0,0.06578947368421052,0.05921052631578947,0.02631578947368421,0.006578947368421052,0.0,0.1073934837092732,0.0
1d235d4ee1a0,1,Stage 1,1v1,33.92364501953125,P2,False,True,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,92,19,60,6,4,10,3,0,0,11,4,12,10,151.0,86.0,0,1,0.20652173913043478,0.6521739130434783,0.06521739130434782,0.75,0.25,4.451172623492052,2.5351049378828905,0.0,0.1,0.043478260869565216,0.10869565217391304,0.03260869565217391,0.0,0.0,0.05,0.0
1d235d4ee1a0,1,Stage 1,1v1,33.92364501953125,P1,True,False,0.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,108,18,56,16,6,7,2,0,0,6,8,9,14,86.0,151.0,2,1,0.16666666666666666,0.5185185185185185,0.14814814814814814,0.5294117647058824,0.47058823529411764,2.5351049378828905,4.451172623492052,0.14285714285714285,0.07142857142857142,0.05555555555555555,0.06481481481481481,0.018518518518518517,0.0,0.0,0.09411764705882353,0.0
f4e4b5979975,1,Stage 1,1v1,33.5723876953125,P1,True,False,0.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,109,18,66,12,2,9,3,1,0,2,11,3,9,46.0,114.0,2,0,0.1651376146788991,0.6055045871559633,0.11009174311926606,0.21428571428571427,0.7857142857142857,1.3701736205799473,3.3956476683937824,0.2222222222222222,0.0,0.01834862385321101,0.08256880733944955,0.027522935779816515,0.009174311926605505,0.0,0.16081258191349934,0.0
f4e4b5979975,1,Stage 1,1v1,33.5723876953125,P2,False,True,1.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,89,19,57,10,0,16,3,0,0,12,5,9,4,114.0,46.0,1,0,0.21348314606741572,0.6404494382022472,0.11235955056179775,0.6428571428571429,0.35714285714285715,3.3956476683937824,1.3701736205799473,0.25,0.0,0.0,0.1797752808988764,0.033707865168539325,0.0,0.0,0.07142857142857144,0.0
8ef0210acbb4,1,Stage 1,1v1,60.6796875,P1,True,False,1.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,207,32,126,23,7,15,3,3,0,7,12,8,12,119.0,91.0,0,2,0.15458937198067632,0.6086956521739131,0.1111111111111111,0.4,0.6,1.9611175486030643,1.4996781254023432,0.0,0.16666666666666666,0.033816425120772944,0.07246376811594203,0.014492753623188406,0.014492753623188406,0.0,0.12579710144927536,0.0
8ef0210acbb4,1,Stage 1,1v1,60.6796875,P2,False,True,0.0,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,koutaliaris,7a3deb71-1a5e-4b42-a2d4-2fe4129134a1,207,32,152,10,11,11,5,0,0,11,11,10,10,91.0,119.0,2,0,0.15458937198067632,0.7342995169082126,0.04830917874396135,0.47619047619047616,0.5238095238095238,1.4996781254023432,1.9611175486030643,0.2,0.0,0.05314009661835749,0.05314009661835749,0.024154589371980676,0.0,0.0,0.10476190476190478,0.0
83f1270d29bd,1,Stage 1,1v1,61.0416259765625,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,423,30,391,2,9,17,4,0,0,11,19,15,11,122.0,131.0,0,0,0.07092198581560284,0.9243498817966903,0.004728132387706856,0.4411764705882353,0.5588235294117647,1.9986361445686758,2.1460765158893156,0.0,0.0,0.02127659574468085,0.04018912529550828,0.009456264775413711,0.0,0.0,0.11176470588235295,0.0
83f1270d29bd,1,Stage 1,1v1,61.0416259765625,P1,True,False,0.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,198,34,128,18,7,15,6,2,0,9,11,11,16,131.0,122.0,1,1,0.1717171717171717,0.6464646464646465,0.09090909090909091,0.5,0.5,2.1460765158893156,1.9986361445686758,0.0625,0.0625,0.03535353535353535,0.07575757575757576,0.030303030303030304,0.010101010101010102,0.0,0.10404040404040404,0.0
5152e21a8188,1,Stage 1,1v1,33.59228515625,P1,True,False,1.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,111,20,67,12,3,13,2,0,0,8,9,10,2,126.0,51.0,0,0,0.18018018018018017,0.6036036036036037,0.10810810810810811,0.5263157894736842,0.47368421052631576,3.750861229414073,1.51820573571522,0.0,0.0,0.02702702702702703,0.11711711711711711,0.018018018018018018,0.0,0.0,0.09473684210526316,0.0
5152e21a8188,1,Stage 1,1v1,33.59228515625,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,142,0,136,2,0,0,0,0,4,1,0,1,10,41.0,126.0,0,0,0.0,0.9577464788732394,0.014084507042253521,1.0,0.0,1.2205183365553731,3.750861229414073,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0
d44b57b7d4d7,1,Stage 1,1v1,28.8709716796875,P2,False,True,1.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,161,16,145,0,4,9,3,0,0,7,6,8,6,110.0,76.0,0,0,0.09937888198757763,0.9006211180124224,0.0,0.5714285714285714,0.42857142857142855,3.8100553462629647,2.6324018755998666,0.0,0.0,0.024844720496894408,0.055900621118012424,0.018633540372670808,0.0,0.0,0.08571428571428572,0.0
d44b57b7d4d7,1,Stage 1,1v1,28.8709716796875,P1,True,False,0.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,95,36,48,5,21,9,2,2,0,5,12,6,8,76.0,110.0,0,0,0.37894736842105264,0.5052631578947369,0.05263157894736842,0.3333333333333333,0.6666666666666666,2.6324018755998666,3.8100553462629647,0.0,0.0,0.22105263157894736,0.09473684210526316,0.021052631578947368,0.021052631578947368,0.0,0.14175438596491227,0.0
2f5cfa26d5bc,2,Stage 1,1v1,25.3909912109375,P1,True,False,1.0,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,Saleaz,7b2d5b56-fb33-42ca-bb1c-ca8c3f246947,82,15,42,12,0,9,2,2,0,8,4,6,5,103.0,30.0,0,3,0.18292682926829268,0.5121951219512195,0.14634146341463414,0.6,0.4,4.056556876583511,1.1815214203641293,0.0,0.6,0.0,0.10975609756097561,0.024390243902439025,0.024390243902439025,0.0,0.08975609756097563,0.0
2f5cfa26d5bc,2,Stage 1,1v1,25.3909912109375,P2,False,True,0.0,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,Vromoesorouxakias,0b6a5709-18ab-46e7-a2b5-4afeeb4c25e7,61,11,48,2,3,6,2,0,0,4,6,2,6,30.0,103.0,0,0,0.18032786885245902,0.7868852459016393,0.03278688524590164,0.25,0.75,1.1815214203641293,4.056556876583511,0.0,0.0,0.04918032786885246,0.09836065573770492,0.03278688524590164,0.0,0.0,0.15000000000000002,0.0
