match_id,round_number,stage,mode,duration_s,slot_id,is_p1,is_p2,won_round,profile_id,profile_name,player_id,actions_total,actions_attack,actions_mobility,actions_defense,actions_quick,actions_heavy,actions_special,actions_charge,actions_projectile,hit_attempts,misses,hits_landed,hits_received,damage_dealt,damage_taken,blocked_hits_as_defender,dodged_hits_as_defender,attack_rate,mobility_rate,defense_rate,hit_rate,miss_rate,dps_dealt,dps_taken,block_rate,dodge_rate,quick_rate,heavy_rate,special_rate,charge_rate,projectile_rate,risk_index,_plot_label,norm_dps_dealt,norm_dps_taken,Aggression,Defense,Mobility,Risk,Aggression_norm,Defense_norm,Mobility_norm,Risk_norm,_profile_name,_player_slot,_round_context
2280e241aff4,1,Stage 1,1v1,12.561901092529297,P1,True,False,1.0,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,BOT_1,93b876ca-06fc-4b5c-8b4f-d8ae5ec2aa41,9,8,1,0,1,7,0,0,0,8,0,8,0,101.0,0.0,0,0,0.8888888888888888,0.1111111111111111,0.0,1.0,0.0,8.040184304592705,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,BOT_1,0.8572293472216354,0.0,0.6873059118055262,0.2,0.09444444444444444,0.0,0.9469145619465004,0.707545984603019,0.07818930041152265,0.0,BOT_1,P1,1
6ac69bd2f693,1,Stage 1,1v1,17.636451721191406,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,19,8,11,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0.4210526315789473,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789473,0.0,0.0,0.0,0.0,koutaliaris,0.0,0.0,0.21052631578947362,0.2,0.49210526315789477,0.0,0.2900461507312138,0.707545984603019,0.5633528265107213,0.0,koutaliaris,P1,1
d1ac119e3b96,1,Stage 1,1v1,23.768051147460938,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,49,9,35,2,0,9,0,0,0,8,0,8,7,112.0,91.0,3,0,0.1836734693877551,0.7142857142857143,0.0408163265306122,1.0,0.0,4.712207967962262,3.8286689739693376,0.4285714285714285,0.0,0.0,0.1836734693877551,0.0,0.0,0.0,0.0,koutaliaris,0.5024067617506569,1.0,0.3169570727814104,0.12142857142857139,0.6071428571428571,0.3,0.4366778498095862,0.05101656228326523,0.7037037037037036,0.819672131147541,koutaliaris,P1,1
6310e6032aee,1,Stage 1,1v1,13.76333999633789,P1,True,False,1.0,4fcd2202-a2ec-43f6-b3a3-be7a9b1d8973,NIGATRON,4fcd2202-a2ec-43f6-b3a3-be7a9b1d8973,10,9,1,0,0,7,0,1,0,1,0,1,0,34.0,0.0,0,0,0.9,0.1,0.0,1.0,0.0,2.470330603548748,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.025,NIGATRON,0.26338200848108495,0.0,0.6431691004240543,0.2,0.085,0.015,0.8861064287744589,0.707545984603019,0.0666666666666667,0.040983606557377046,NIGATRON,P1,1
32a21971b3e0,1,Stage 1,1v1,13.25367832183838,P1,True,False,1.0,4fcd2202-a2ec-43f6-b3a3-be7a9b1d8973,NIGATRON,4fcd2202-a2ec-43f6-b3a3-be7a9b1d8973,10,9,1,0,0,9,0,0,0,8,0,8,0,112.0,0.0,0,0,0.9,0.1,0.0,1.0,0.0,8.450484256544474,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,NIGATRON,0.900974757358039,0.0,0.695048737867902,0.2,0.085,0.0,0.9575820021985741,0.707545984603019,0.0666666666666667,0.0,NIGATRON,P1,1
684dcaa49efb,1,Stage 1,1v1,12.200420379638672,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,28,27,1,0,27,0,0,0,0,25,0,25,0,100.0,0.0,0,0,0.9642857142857144,0.0357142857142857,0.0,1.0,0.0,8.19643888393308,0.0,0.0,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,Saleaz,0.8738889169496363,0.0,0.7258373029903391,0.2,0.030357142857142843,0.0,1.0,0.707545984603019,0.0,0.0,Saleaz,P1,1
76b539a0ac42,1,Stage 1,1v1,12.737401962280272,P1,True,False,1.0,4fcd2202-a2ec-43f6-b3a3-be7a9b1d8973,NIGATRON,4fcd2202-a2ec-43f6-b3a3-be7a9b1d8973,10,8,1,1,0,6,0,1,0,7,0,7,0,118.0,0.0,0,0,0.8,0.1,0.1,1.0,0.0,9.26405560171828,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.025,NIGATRON,0.9877162059020969,0.0,0.6293858102951048,0.23500000000000001,0.085,0.015,0.8671169251044706,1.0,0.0666666666666667,0.040983606557377046,NIGATRON,P1,1
edf58c56fea6,1,Stage 1,1v1,12.78557586669922,P1,True,False,1.0,7be90f2d-2834-44ad-9a15-47a03192e962,Saleaz,7be90f2d-2834-44ad-9a15-47a03192e962,11,10,1,0,0,10,0,0,0,8,1,8,0,112.0,0.0,0,0,0.9090909090909092,0.0909090909090909,0.0,0.8888888888888888,0.1111111111111111,8.75987137127789,0.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.0,0.0,0.0499999999999999,Saleaz,0.9339610303530766,0.0,0.6790212838408861,0.2,0.07727272727272726,0.03888888888888888,0.9355006708024262,0.707545984603019,0.057239057239057235,0.10625379477838492,Saleaz,P1,1
dfccb8b36e6c,1,Stage 1,1v1,12.186586380004885,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,12,8,4,0,0,6,0,1,0,6,0,6,0,104.0,0.0,0,0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,8.533973071461405,0.0,0.0,0.0,0.0,0.5,0.0,0.0833333333333333,0.0,0.0208333333333333,koutaliaris,0.9098761779723237,0.0,0.5621604755652828,0.2,0.2833333333333333,0.012499999999999995,0.7744992896469599,0.707545984603019,0.30864197530864196,0.034153005464480864,koutaliaris,P1,1
9a015899e5cf,1,Stage 1,1v1,13.305988311767578,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,10,9,1,0,1,6,0,1,0,6,0,6,0,104.0,0.0,0,0,0.9,0.1,0.0,1.0,0.0,7.816029712578678,0.0,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.025,koutaliaris,0.8333304056912584,0.0,0.671666520284563,0.2,0.085,0.015,0.9253678717219399,0.707545984603019,0.0666666666666667,0.040983606557377046,koutaliaris,P1,1
13495a9566c5,1,Stage 1,1v1,12.580938339233398,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,10,8,1,1,0,6,0,1,0,7,0,7,0,118.0,0.0,0,0,0.8,0.1,0.1,1.0,0.0,9.379268606064098,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.025,koutaliaris,1.0,0.0,0.63,0.23500000000000001,0.085,0.015,0.8679631060631576,1.0,0.0666666666666667,0.040983606557377046,koutaliaris,P1,1
8c42b7731697,1,Stage 1,1v1,13.976490020751951,P1,True,False,1.0,557d8267-3a69-4e53-a572-b866cc54cd94,koutaliaris,557d8267-3a69-4e53-a572-b866cc54cd94,25,24,1,0,22,0,0,1,0,19,1,19,0,106.0,0.0,0,0,0.96,0.04,0.0,0.95,0.05,7.584164539352425,0.0,0.0,0.0,0.88,0.0,0.0,0.04,0.0,0.0325,koutaliaris,0.8086093764762147,0.0,0.7024304688238108,0.2,0.034,0.0235,0.9677519547836744,0.707545984603019,0.004444444444444465,0.06420765027322405,koutaliaris,P1,1
